customer_id,age,income,city,tenure,purchased
72,29,46081.0,Pune,10,1
73,41,55523.0,Pune,3,0
74,26,64850.0,Bangalore,3,1
75,51,63531.0,Bangalore,6,0
76,41,38312.0,Bangalore,12,1
77,35,61810.0,Mumbai,7,1
78,30,64565.0,Pune,5,1
79,45,110349.0,Delhi,11,1
80,50,97537.0,Mumbai,12,1
81,62,42935.0,Bangalore,13,1
82,40,54252.0,Pune,4,1
83,28,30731.0,Mumbai,10,0
84,57,48186.0,Mumbai,8,1
85,48,66312.0,Delhi,6,1
86,51,84117.0,Delhi,5,0
87,25,45418.0,Delhi,1,0
88,34,46917.0,Delhi,4,1
89,54,17054.0,Pune,8,0
90,57,56747.0,Pune,13,1
91,40,38752.0,Pune,12,0
92,56,49411.0,Delhi,2,0
93,58,42463.0,Delhi,10,1
94,38,58115.0,Mumbai,1,0
95,60,24845.0,Bangalore,10,0
96,33,30659.0,Mumbai,5,0
97,31,102585.0,Mumbai,6,1
98,51,34252.0,Delhi,10,1
99,49,38064.0,Bangalore,6,0
100,27,96738.0,Mumbai,12,1
101,57,118101.0,Delhi,8,1
102,29,36569.0,Bangalore,14,1
103,56,52635.0,Pune,9,1
104,21,66831.0,Delhi,4,0
105,56,94574.0,Mumbai,11,1
106,55,40263.0,Pune,6,0
107,55,55094.0,Bangalore,8,1
108,50,,Pune,2,0
109,41,68695.0,Mumbai,1,0
110,52,52477.0,Mumbai,8,1
111,33,57324.0,Bangalore,2,1
112,55,32502.0,Delhi,14,1
113,45,55237.0,Delhi,12,1
114,41,54672.0,Bangalore,10,1
115,43,64643.0,Bangalore,11,1
116,46,48893.0,Delhi,8,0
117,22,,Bangalore,0,0
118,27,80254.0,Mumbai,5,1
119,31,63109.0,Bangalore,7,1
120,26,67035.0,Pune,13,1
121,40,61063.0,Delhi,3,1
122,50,60002.0,Pune,7,1
123,49,45569.0,Mumbai,5,0
124,41,66330.0,Pune,2,1
125,58,58054.0,Mumbai,1,0
126,45,,Mumbai,5,1
127,24,91467.0,Pune,1,1
128,54,67717.0,Bangalore,1,0
129,46,44739.0,Delhi,5,0
130,48,37752.0,Bangalore,3,0
131,45,83823.0,Pune,8,1
132,45,,Mumbai,0,1
133,24,69603.0,Pune,4,1
134,45,25108.0,Bangalore,6,0
135,55,78549.0,Mumbai,14,1
136,34,69088.0,Delhi,9,1
137,47,37791.0,Bangalore,13,1
138,22,50570.0,Delhi,5,0
139,36,65274.0,Pune,6,0
140,40,61049.0,Bangalore,6,1
141,64,54157.0,Mumbai,13,1
142,30,57930.0,Delhi,14,1
143,33,54960.0,Bangalore,14,1
144,38,63051.0,Delhi,11,1
145,64,89430.0,Mumbai,7,0
146,58,8667.0,Pune,8,0
147,22,55263.0,Pune,14,0
148,31,63530.0,Pune,4,0
149,57,65920.0,Pune,5,0
150,23,52562.0,Bangalore,13,1
151,58,24866.0,Delhi,5,1
152,33,66560.0,Pune,3,1
153,61,94547.0,Pune,8,1
154,33,29323.0,Pune,4,1
155,40,77277.0,Bangalore,13,1
156,50,53429.0,Delhi,13,1
157,26,,Bangalore,4,0
158,45,38942.0,Mumbai,7,1
159,43,53311.0,Pune,14,1
160,55,86001.0,Mumbai,11,1
161,64,71653.0,Mumbai,3,0
162,50,94646.0,Delhi,8,1
163,39,83548.0,Pune,9,1
164,38,68782.0,Pune,9,1
165,39,94879.0,Delhi,0,1
166,56,68780.0,Mumbai,4,1
167,35,76560.0,Mumbai,12,1
168,28,54069.0,Mumbai,3,0
169,35,61331.0,Pune,4,1
170,21,46052.0,Delhi,4,0
171,25,79792.0,Mumbai,2,1
172,24,36434.0,Delhi,2,0
173,54,75647.0,Delhi,5,1
174,52,56187.0,Pune,13,1
175,51,83425.0,Pune,0,0
176,41,75017.0,Delhi,4,1
177,52,96413.0,Bangalore,0,1
178,28,74615.0,Delhi,8,1
179,60,28559.0,Delhi,3,0
180,43,58661.0,Mumbai,11,1
181,62,,Delhi,8,0
182,27,49634.0,Mumbai,11,0
183,42,90225.0,Pune,9,1
184,51,72751.0,Bangalore,6,1
185,42,46021.0,Bangalore,12,1
186,40,39726.0,Mumbai,7,1
187,28,60656.0,Delhi,14,1
188,37,35669.0,Delhi,14,0
189,31,46577.0,Mumbai,8,0
190,34,66240.0,Delhi,10,1
191,51,83106.0,Pune,3,1
192,48,72175.0,Pune,12,1
193,47,14174.0,Pune,10,0
194,36,66087.0,Bangalore,13,1
195,63,61441.0,Bangalore,4,1
196,24,68278.0,Bangalore,11,1
197,36,,Mumbai,7,1
198,26,18735.0,Bangalore,2,0
199,35,48178.0,Pune,2,0
200,63,71818.0,Pune,8,0
201,37,28368.0,Bangalore,4,1
202,60,89519.0,Delhi,1,1
203,42,67367.0,Bangalore,6,1
204,51,76932.0,Mumbai,9,1
205,41,,Bangalore,4,1
206,32,76275.0,Bangalore,14,1
207,54,81369.0,Pune,11,0
208,63,64658.0,Mumbai,7,1
209,32,64688.0,Pune,14,1
210,55,65407.0,Pune,6,1
211,32,42733.0,Mumbai,2,0
212,52,57049.0,Mumbai,0,0
213,55,56950.0,Bangalore,14,1
214,40,67668.0,Pune,14,0
215,53,79996.0,Bangalore,11,1
216,32,38829.0,Pune,1,0
217,24,57500.0,Mumbai,4,1
218,25,89629.0,Bangalore,0,1
219,40,45128.0,Mumbai,0,0
220,60,43555.0,Pune,3,0
221,26,64046.0,Mumbai,8,1
222,41,76888.0,Bangalore,0,1
223,51,60229.0,Delhi,14,1
224,29,86579.0,Pune,6,1
225,52,77136.0,Mumbai,3,0
226,34,76836.0,Mumbai,7,0
227,56,71082.0,Bangalore,11,1
228,46,106553.0,Mumbai,4,0
229,45,55897.0,Pune,0,0
230,28,19930.0,Bangalore,0,0
231,41,92085.0,Bangalore,12,1
232,58,50846.0,Delhi,1,0
233,21,62158.0,Delhi,9,1
234,54,86191.0,Mumbai,5,1
235,42,27955.0,Pune,11,1
236,52,34967.0,Pune,0,1
237,50,27974.0,Bangalore,13,1
238,40,44117.0,Bangalore,10,0
239,34,68793.0,Mumbai,6,1
240,48,70484.0,Delhi,3,0
241,27,65525.0,Delhi,14,1
242,46,31745.0,Mumbai,4,0
243,25,13798.0,Mumbai,7,0
244,49,61087.0,Delhi,5,0
245,48,50564.0,Mumbai,3,0
246,24,69188.0,Delhi,6,1
247,54,74039.0,Bangalore,2,0
248,39,62765.0,Pune,0,1
249,55,75203.0,Bangalore,4,1
250,22,64584.0,Mumbai,1,0
251,28,70601.0,Mumbai,6,0
252,42,45907.0,Mumbai,12,1
253,29,56408.0,Delhi,2,0
254,35,63936.0,Bangalore,0,0
255,50,,Bangalore,1,0
256,27,52125.0,Delhi,7,0
257,50,,Mumbai,4,1
258,25,54683.0,Mumbai,7,0
259,28,57649.0,Delhi,0,1
260,46,76590.0,Bangalore,4,0
261,55,20139.0,Bangalore,6,0
262,28,34071.0,Bangalore,6,0
263,34,30356.0,Bangalore,8,0
264,61,13328.0,Pune,11,0
265,64,46435.0,Pune,7,0
266,46,74989.0,Bangalore,12,1
267,40,54302.0,Pune,7,0
268,36,63956.0,Mumbai,3,1
269,47,81784.0,Pune,3,1
270,47,86554.0,Pune,4,1
271,33,58617.0,Bangalore,8,1
272,22,87072.0,Pune,3,1
273,27,61843.0,Bangalore,13,1
274,63,43252.0,Bangalore,7,1
275,39,48112.0,Mumbai,12,1
276,42,30389.0,Pune,10,0
277,41,42237.0,Bangalore,5,0
278,55,52840.0,Pune,3,1
279,23,76072.0,Mumbai,11,1
280,24,,Pune,4,1
281,33,32356.0,Delhi,3,0
282,42,67857.0,Delhi,13,1
283,50,,Bangalore,7,1
284,42,69494.0,Bangalore,0,0
285,40,57378.0,Pune,7,1
286,62,23382.0,Mumbai,6,0
287,28,78566.0,Bangalore,12,1
288,46,47900.0,Bangalore,10,1
289,44,49322.0,Pune,2,0
290,41,,Bangalore,2,0
291,56,46914.0,Mumbai,9,1
292,32,68558.0,Pune,0,0
293,62,56215.0,Delhi,4,0
294,35,66573.0,Pune,2,0
295,44,67238.0,Delhi,0,0
296,43,86413.0,Mumbai,13,1
297,58,53144.0,Pune,1,0
298,40,30463.0,Bangalore,0,0
299,33,81344.0,Pune,13,0
300,21,53370.0,Bangalore,2,0
